马丁·斯科塞斯,威廉·莫纳汉/麦兆辉/FelixChong,莱昂纳多·迪卡普里奥/马特·达蒙/杰克·尼科尔森/马克·沃尔伯格/马丁·辛,犯罪/剧情/惊悚片,美国,英语,151分钟

克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/克里斯托弗·普瑞丝特,休·杰克曼/克里斯蒂安·贝尔/迈克尔·凯恩/派珀·佩拉博/丽贝卡·豪尔,剧情/悬疑/科幻/惊悚片,美国,英语,130分钟

厄文·克什纳,利·布拉克特/LawrenceKasdan/乔治·卢卡斯,马克·哈米尔/哈里森·福特/凯丽·费雪/比利·迪/安东尼·丹尼尔斯,动作片/冒险/奇幻片/科幻,美国,英语,127分钟

马丁·斯科塞斯,特伦斯·温特/乔丹·贝尔福特,莱昂纳多·迪卡普里奥/乔纳·希尔/玛格特·罗比/马修·麦康纳/凯尔·钱德勒,传记/犯罪/剧情,美国,英语,240分钟

詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿/佐伊·索尔达娜/西格妮·韦弗/史蒂芬·朗/米歇尔·罗德里格兹,动作片/冒险/奇幻片/科幻,美国,英语,178

弗兰克·德拉邦特,斯蒂芬·金/弗兰克·德拉邦特,汤姆·汉克斯/大卫·摩斯/邦尼·亨特/迈克·克拉克/詹姆斯·克伦威尔,犯罪/剧情/奇幻片/悬疑,美国,英语,114分钟

克里斯托弗·诺兰,克里斯托弗·诺兰/乔纳森·诺兰,盖·皮尔斯/凯瑞/乔·潘托里亚诺/小马克·布恩/拉什·费加,悬疑/惊悚片,美国,英语,113分钟

弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉/马里奥·普佐,阿尔·帕西诺/罗伯特·杜瓦尔/黛安·基顿/罗伯特·德尼罗/约翰·凯泽尔,犯罪/剧情,美国,英语,220分钟

马丁·斯科塞斯,莱塔·卡罗格里迪斯/DennisLehane,莱昂纳多·迪卡普里奥/马克·鲁弗洛/本·金斯利/马克斯·冯/米歇尔·威廉姆斯,悬疑/惊悚片,美国,英语,138分钟

萨姆·门德斯,艾伦·鲍尔,凯文·史派西/安妮特·贝宁/索拉·伯奇/韦斯·本特利/米娜·苏瓦丽,剧情,美国,英语,122分钟

詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩/凯西·贝茨/弗兰西丝·费舍,剧情/爱情,美国,英语,194分钟

托尼·凯耶,戴维·麦克纳,爱德华·诺顿/爱德华·福隆/比佛莉·德安姬罗/詹妮弗·林/伊桑·苏普利,剧情,美国,英语,101分钟

戈尔·维宾斯基,泰德·艾略特/特里·鲁西奥/斯图尔特·贝亚蒂耶/杰·沃尔伯特,约翰尼·德普/杰弗里·拉什/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特,动作片/冒险/奇幻片,美国,英语,143分钟

詹姆斯·麦克特格,莉莉·沃卓斯基/拉娜·沃卓斯基/DavidLloyd,娜塔莉·波特曼/雨果·维文/斯蒂芬·瑞/斯蒂芬·弗雷/约翰·赫特,动作片/剧情/科幻/惊悚片,美国,英语,132分钟

罗伯特·泽米吉斯,罗伯特·泽米吉斯/鲍勃·盖尔,迈克尔/克里斯托弗·洛伊德/莉·汤普森/克里斯平·格洛弗/托马斯,冒险/喜剧/科幻,美国,英语,116分钟

吕克·贝松,吕克·贝松,让·雷诺/加里·奥德曼/娜塔莉·波特曼/丹尼·爱罗/彼得·阿佩尔,动作片/犯罪/剧情/惊悚片,法国,英语,133分钟

马丁·斯科塞斯,尼古拉斯·派勒吉/马丁·斯科塞斯,罗伯特·德尼罗/雷·利奥塔/乔·佩西/洛南·布雷科/保罗·索维诺,传记/犯罪/剧情,美国,英语,146分钟

詹姆斯·卡梅隆,詹姆斯·卡梅隆/WilliamWisher,阿诺·施瓦辛格/琳达·汉密尔顿/爱德华·福隆/罗伯特·帕特里克/EarlBoen,动作片/科幻,美国,英语,156分钟

昆汀·塔伦蒂诺,昆汀·塔伦蒂诺/乌玛·瑟曼,乌玛·瑟曼/刘玉玲/薇薇卡·福克斯/达丽尔·汉纳/大卫·卡拉丁,动作片/犯罪/惊悚片,美国,英语,112分钟

安德鲁·斯坦顿,安德鲁·斯坦顿/彼特·道格特/吉姆·里尔顿,佛莱德·威拉特/KimKopf/NikiMcElroy/加勒特·帕尔默/SinisaRuzic,冒险/动画/家庭/科幻,美国,英语,98分钟

布莱恩·辛格,克里斯托弗·麦奎里,史蒂芬·鲍德温/加布里埃尔·伯恩/本尼西奥·德尔/凯文·波拉克/凯文·史派西,犯罪/悬疑/惊悚片,美国,英语,106分钟

梅尔·吉布森,兰道尔·华莱士,JamesRobinson/辛·劳洛/SandyNelson/詹姆斯·科兹莫/辛·麦金利,传记/剧情/历史/战争,美国,法语,178分钟

安德鲁·斯坦顿/李·昂克里奇,安德鲁·斯坦顿/鲍勃·彼德森/大卫·雷诺兹,,冒险/动画/喜剧/家庭,美国,英语,100分钟

理查德·马昆德,LawrenceKasdan/乔治·卢卡斯,马克·哈米尔/哈里森·福特/凯丽·费雪/比利·迪/安东尼·丹尼尔斯,动作片/冒险/奇幻片/科幻,美国,英语,134分钟

乔恩·费儒,马克·弗格斯/霍克·奥斯比/阿特·马库姆/马特·霍洛维/斯坦·李,小罗伯特·唐尼/泰伦斯·霍华德/杰夫·布里吉斯/格温妮斯·帕特洛/莱丝莉·比伯,动作片/冒险/科幻,美国,匈牙利语,126分钟

罗杰·阿勒斯/罗伯·明可夫,艾琳·梅琪/乔纳森·罗伯茨/琳达·伍尔芙顿/伯尼·马丁森/BarryJohnson,杰夫·贝内特/SallyDworsky/EvanSaucedo/JasonWeaver/JosephWilliams,冒险/动画/剧情/家庭/歌舞剧,美国,英语,89分钟

彼得·威尔,安德鲁·尼科尔,金·凯瑞/劳拉·琳妮/诺亚·艾默里奇/娜塔莎·麦克艾霍恩/霍兰德·泰勒,喜剧/剧情/科幻,美国,英语,103分钟

M.NightShyamalan,M.NightShyamalan,布鲁斯·威利斯/海利·乔/托妮·科莱特/奥莉维亚·威廉姆斯/特拉沃·摩根,剧情/悬疑/惊悚片,美国,英语,107分钟

詹姆斯·格雷,詹姆斯·格雷/伊桑·格罗斯,布拉德·皮特/TommyLeeJones/鲁丝·内伽/唐纳德·萨瑟兰/金伯莉·伊丽丝,冒险/剧情/悬疑/科幻/惊悚片,中国大陆,英语,123分钟

昆汀·塔伦蒂诺,昆汀·塔伦蒂诺/罗杰·阿夫瑞,哈威·凯特尔/蒂姆·罗斯/迈克尔·马德森/克里斯·潘/史蒂夫·布西密,犯罪/剧情/惊悚片,美国,英语,99分钟

米洛斯·福尔曼,劳伦斯·奥邦/博·古德曼/肯·凯西/达尔·瓦瑟曼,杰克·尼科尔森/路易丝·弗莱彻/威尔·萨姆森/迈克尔·贝里曼/AlonzoBrown,剧情,美国,英语,133分钟

米歇尔·贡德里,查理·考夫曼/米歇尔·贡德里/皮埃尔·比斯毛特,金·凯瑞/凯特·温丝莱特/GerryRobertByrne/伊利亚·伍德/汤姆斯·杰,剧情/爱情/科幻,美国,英语,108分钟

史蒂文·斯皮尔伯格,LawrenceKasdan/乔治·卢卡斯/菲利普·考夫曼,哈里森·福特/凯伦·阿兰/PaulFreeman/罗纳德·莱西/约翰·瑞斯,动作片/冒险,美国,英语,115分钟

